iter	Passed	Remaining
732	23499	8559
733	23532	8527
734	23564	8495
735	23594	8463
736	23628	8432
737	23660	8399
738	23697	8369
739	23728	8337
740	23758	8304
741	23790	8272
742	23822	8240
743	23855	8208
744	23887	8176
745	23919	8144
746	23952	8112
747	23985	8080
748	24017	8048
749	24049	8016
750	24081	7984
751	24112	7951
752	24144	7919
753	24176	7887
754	24207	7855
755	24238	7822
756	24271	7791
757	24303	7759
758	24330	7725
759	24362	7693
760	24393	7660
761	24425	7628
762	24454	7595
763	24485	7563
764	24518	7531
765	24551	7500
766	24585	7468
767	24616	7436
768	24650	7404
769	24681	7372
770	24714	7340
771	24747	7308
772	24780	7277
773	24813	7245
774	24844	7213
775	24879	7181
776	24911	7149
777	24944	7117
778	24974	7085
779	25005	7052
780	25037	7020
781	25069	6988
782	25104	6957
783	25137	6925
784	25169	6893
785	25201	6861
786	25234	6829
787	25265	6797
788	25298	6765
789	25329	6733
790	25360	6700
791	25391	6668
792	25424	6636
793	25458	6605
794	25491	6573
795	25523	6541
796	25555	6509
797	25588	6477
798	25620	6445
799	25652	6413
800	25685	6381
801	25716	6348
802	25748	6316
803	25783	6285
804	25815	6253
805	25847	6221
806	25880	6189
807	25914	6157
808	25945	6125
809	25979	6094
810	26013	6062
811	26044	6030
812	26076	5997
813	26107	5965
814	26139	5933
815	26170	5901
816	26203	5869
817	26235	5837
818	26269	5805
819	26302	5773
820	26336	5742
821	26371	5710
822	26403	5678
823	26436	5646
824	26470	5615
825	26502	5582
826	26533	5550
827	26564	5518
828	26595	5485
829	26628	5453
830	26660	5421
831	26693	5389
832	26726	5358
833	26757	5325
834	26791	5294
835	26822	5261
836	26854	5229
837	26887	5197
838	26920	5165
839	26950	5133
840	26982	5101
841	27015	5069
842	27046	5037
843	27077	5004
844	27109	4972
845	27141	4940
846	27175	4908
847	27207	4876
848	27239	4844
849	27272	4812
850	27304	4780
851	27337	4748
852	27369	4716
853	27400	4684
854	27434	4652
855	27463	4620
856	27494	4587
857	27526	4555
858	27557	4523
859	27590	4491
860	27621	4459
861	27654	4427
862	27684	4394
863	27715	4362
864	27748	4330
865	27780	4298
866	27813	4266
867	27846	4234
868	27878	4202
869	27911	4170
870	27941	4138
871	27975	4106
872	28005	4074
873	28036	4041
874	28068	4009
875	28099	3977
876	28132	3945
877	28163	3913
878	28194	3881
879	28228	3849
880	28262	3817
881	28293	3785
882	28326	3753
883	28356	3721
884	28392	3689
885	28426	3657
886	28458	3625
887	28490	3593
888	28521	3561
889	28553	3529
890	28585	3497
891	28618	3464
892	28646	3432
893	28678	3400
894	28712	3368
895	28745	3336
896	28776	3304
897	28809	3272
898	28840	3240
899	28871	3207
900	28902	3175
901	28930	3143
902	28961	3111
903	28992	3078
904	29024	3046
905	29056	3014
906	29087	2982
907	29119	2950
908	29151	2918
909	29183	2886
910	29215	2854
911	29247	2822
912	29278	2789
913	29309	2757
914	29343	2725
915	29375	2693
916	29408	2661
917	29440	2629
918	29471	2597
919	29502	2565
920	29533	2533
921	29563	2501
922	29595	2468
923	29629	2437
924	29662	2405
925	29693	2372
926	29726	2340
927	29757	2308
928	29790	2276
929	29823	2244
930	29855	2212
931	29888	2180
932	29921	2148
933	29953	2116
934	29985	2084
935	30013	2052
936	30045	2020
937	30079	1988
938	30111	1956
939	30143	1924
940	30175	1891
941	30207	1859
942	30239	1827
943	30271	1795
944	30302	1763
945	30335	1731
946	30366	1699
947	30399	1667
948	30431	1635
949	30464	1603
950	30499	1571
951	30532	1539
952	30561	1507
953	30593	1475
954	30625	1443
955	30656	1410
956	30690	1378
957	30721	1346
958	30754	1314
959	30786	1282
960	30819	1250
961	30851	1218
962	30883	1186
963	30915	1154
964	30947	1122
965	30978	1090
966	31007	1058
967	31042	1026
968	31074	994
969	31107	962
970	31139	930
971	31171	897
972	31203	865
973	31236	833
974	31267	801
975	31300	769
976	31332	737
977	31364	705
978	31398	673
979	31430	641
980	31458	609
981	31489	577
982	31523	545
983	31553	513
984	31585	480
985	31616	448
986	31648	416
987	31680	384
988	31710	352
989	31743	320
990	31775	288
991	31807	256
992	31839	224
993	31871	192
994	31904	160
995	31936	128
996	31968	96
997	32000	64
998	32030	32
999	32062	0
